[ 2025-01-30 12:50:44,288 ] 28 root - INFO - Initiate the data ingestion
[ 2025-01-30 12:50:46,361 ] 72 root - INFO - Performed train test split on the dataframe
[ 2025-01-30 12:50:46,361 ] 74 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-30 12:50:46,362 ] 82 root - INFO - Exporting train and test file path.
[ 2025-01-30 12:50:46,392 ] 91 root - INFO - Exported train and test file path.
[ 2025-01-30 12:50:46,392 ] 30 root - INFO - Data Initiation Completed
[ 2025-01-30 12:50:46,395 ] 34 root - INFO - Initiate the data Validation
[ 2025-01-30 12:50:46,405 ] 39 root - INFO - Required number of columns:2
[ 2025-01-30 12:50:46,405 ] 40 root - INFO - Data frame has columns:31
[ 2025-01-30 12:50:46,405 ] 39 root - INFO - Required number of columns:2
[ 2025-01-30 12:50:46,405 ] 40 root - INFO - Data frame has columns:31
[ 2025-01-30 12:50:46,494 ] 36 root - INFO - data Validation Completed
[ 2025-01-30 12:50:46,494 ] 39 root - INFO - data Transformation started
[ 2025-01-30 12:50:46,494 ] 72 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-30 12:50:46,494 ] 76 root - INFO - Starting data transformation
[ 2025-01-30 12:50:46,504 ] 58 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-30 12:50:46,504 ] 63 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-30 12:50:46,508 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-30 12:50:46,511 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-30 12:50:46,511 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-30 12:50:46,516 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-30 12:50:46,518 ] 47 root - INFO - data Transformation completed
